No.	pageid	qid	deWikiTitle	HOV-String	Levenshtein	HovCodeinWD	HovCodeParsed	HOV_String_StatedAs	ZeroIsNotaSiedlung
674:	806894	Q2120701	Pölbitz	Pölbitz	0	22099			1
675:	815497	Q160668	Uhyst am Taucher	Uhyst a. Taucher	1	23309			1
676:	819225	Q1043371	Carlsfeld (Eibenstock)	Carlsfeld	13	None	21020	Carlsfeld	1
677:	822273	Q160197	Weinhübel	Weinhübel_(bis_1936_Leschwitz)	21	None	24032	Weinhübel (bis 1936 Leschwitz)	1
678:	823387	Q1897673	Marieney	Marieney	0	19082			1
679:	824456	Q6698	Gohrisch	Papstdorf	9	None	11172	Papstdorf	4
680:	841632	Q995614	Bräunsdorf (Oberschöna)	Zechendorf	19	None	16132	Zechendorf	1
681:	842644	Q902077	Braunsdorf (Niederwiesa)	Braunsdorf_(2)	12	None	15010	Braunsdorf (2)	1
682:	847589	Q57744	Deutschneudorf	Deutschneudorf	0	16080			4
683:	848106	Q1651390	Wilischthal	Wilischthal	0	15095			1
684:	848690	Q15096923	Gersdorf (Bahretal)	Gersdorf_(7)	9	None	11063	Gersdorf (7)	1
685:	849170	Q2453060	Triestewitz	Triestewitz	0	30218			1
686:	852790	Q1230076	Rippien	Rippien	0	8193			4
687:	857258	Q160238	Weifa	Weifa	0	23318			1
688:	857393	Q1481785	Wiesenbad	Wiesenbad	0	12066			1
689:	864881	Q1069519	Chemnitz-Hilbersdorf	Hilbersdorf_(1)	13	None	14044	Hilbersdorf (1)	1
690:	865147	Q160335	Neustadt/Spree	Neustadt_(3)	6	None	25071	Neustadt (3)	1
691:	867702	Q2431912	Tiefensee (Bad Düben)	Tiefensee	12	None	30214	Tiefensee	4
692:	868194	Q12353084	Naundorf (Struppen)	Naundorf_(21)	9	None	11153	Naundorf (21)	1
693:	870742	Q1270886	Döben (Grimma)	Döben	9	None	3055	Döben	4
694:	873176	Q1544494	Grechwitz	Grechwitz	0	3084			1
695:	873184	Q1981047	Neunitz	Neunitz	0	3168			1
696:	886503	Q162603	Tröbigau	Tröbigau	0	23304			1
697:	892110	Q27479037	Wegefarth	Wegefarth	0	16126			1
698:	892119	Q15058358	Pappendorf	Pappendorf	0	2185			4
699:	892138	Q20825716	Auerswalde	Auerswalde	0	15003			1
700:	892177	Q8904	Dölzschen	Dölzschen	0	8038			1
701:	893624	Q1476966	Wahren	Wahren	0	4206			1
702:	902440	Q468073	Amerika (Penig)	Amerika	8	None	6200	Amerika	1
703:	913796	Q2162243	Rohna (Sachsen)	Rohna	10	None	26110	Rohna	1
704:	914086	Q61533513	Wolkenburg-Kaufungen	Wolkenburg-Kaufungen	0	6182			1
705:	914090	Q2177990	Rußdorf (Limbach-Oberfrohna)	Rußdorf_(1)	19	None	14084	Rußdorf (1)	1
706:	914092	Q2009648	Oberfrohna	Oberfrohna	0	14030			1
707:	916732	Q2245846	Schmannewitz	Schmannewitz	0	5183			1
708:	918686	Q1497367	Lauterbach (Stolpen)	Lauterbach_(5)	8	None	11128	Lauterbach (5)	4
709:	919801	Q160601	Kleinröhrsdorf	Kleinröhrsdorf	0	8196			1
710:	929103	Q1019230	Bärnsdorf	Bärnsdorf_(1)	4	None	9003	Bärnsdorf (1)	1
711:	929914	Q895567	Boxdorf (Moritzburg)	Boxdorf	13	None	8014	Boxdorf	1
