No.	pageid	qid	deWikiTitle	HOV-String	Levenshtein	HovCodeinWD	HovCodeParsed	HOV_String_StatedAs	ZeroIsNotaSiedlung
581:	422822	Q1417284	Miltitz (Leipzig)	Miltitz_(1)	8	None	4122	Miltitz (1)	1
582:	423628	Q2140053	Reifland	Reifland	0	18063			1
583:	436250	Q1069503	Chemnitz-Einsiedel	Einsiedel	9	None	14023	Einsiedel	4
584:	441238	Q697455	Arnsfeld	Oberschaar_(1)	13	12002			1
585:	444402	Q227243	Zschernitz	Zschernitz	0	30252			1
586:	446838	Q15096988	Goßdorf	Goßdorf	0	11075			1
587:	446841	Q15096994	Waitzdorf	Waitzdorf	0	11249			1
588:	446842	Q15096990	Lohsdorf (Hohnstein)	Lohsdorf	12	None	11140	Lohsdorf	1
589:	446843	Q12354399	Rathewalde	Rathewalde	0	11195			1
590:	446845	Q27116840	Hohburkersdorf	Hohburkersdorf	0	11023			1
591:	446847	Q27116261	Zeschnig	Zeschnig	0	11266			1
592:	452642	Q1312715	Grünstädtel	Grünstädtel	0	21033			1
593:	454291	Q1981666	Neustadt (Leipzig)	Neustadt_(5)	8	None	4136	Neustadt (5)	1
594:	454300	Q882826	Schönefeld (Leipzig)	Schönefeld_(2)	8	None	4177	Schönefeld (2)	1
595:	460822	Q10719651	Kreckwitz	Kreckwitz	0	23141			4
596:	467075	Q1353061	Waschleithe	Waschleithe	0	21085			4
597:	491155	Q1336962	Strehlen (Dresden)	Strehlen	10	None	8218	Strehlen	1
598:	501985	Q8949	Plauen (Dresden)	Plauen_(1)	8	None	8169	Plauen (1)	1
599:	511726	Q382181	Affalter	Affalter	0	21001			1
600:	513514	Q22692873	Lonnewitz	Lonnewitz	0	5103			1
601:	514157	Q8742	Moritzburg (Sachsen)	Moritzburg	10	None	8139	Moritzburg	1
602:	515483	Q1701968	Südvorstadt (Leipzig)	Brandvorwerk	18	None	4017	Brandvorwerk	1
603:	527098	Q1397387	Fasendorf	Fasendorf	0	20020			1
604:	530902	Q1910617	Spitzkunnersdorf	Spitzkunnersdorf	0	29040			1
605:	532216	Q1918169	Meinsberg	Meinsberg	0	2142			4
606:	532239	Q1409041	Neuwürschnitz	Neuwürschnitz	0	14102			1
607:	533246	Q582810	Lindenau (Oberlausitz)	Lindenau (Oberlausitz)	0	25053			1
608:	537187	Q884793	Burg Schweinsburg	Burg Schweinsburg	0	None			0
609:	542238	Q2258727	Schönbach (Colditz)	Schönbach_(1)	8	None	3222	Schönbach (1)	1
610:	547485	Q457486	Sieniawka	Kleinschönau	9	None	29077	Schönau, Klein-	4
611:	547543	Q2461546	Turoszów	Türchau	6	None	29085	Türchau	4
612:	549222	Q160222	Groß Radisch	Großradisch	2	None	28089	Radisch, Groß	1
613:	558125	Q1019100	Bärenfels	Bärenfels, Kurort	8	None	7003	Bärenfels, Kurort	4
614:	562119	Q1601241	Heinzebank	Heinzebank	0	18026			1
615:	563709	Q12355895	Thürmsdorf	Thürmsdorf	0	11242			1
616:	566352	Q1470872	Grund (Wilsdruff)	Grund	12	None	8080	Grund	1
617:	570254	Q2637402	Albernau	Albernau	0	21004			1
618:	570397	Q1867643	Lockwitz	Lockwitz	0	8120			1
619:	571081	Q822034	Bermsgrün	Bermsgrün	0	21011			1
620:	572023	Q906364	Breitenhof	Breitenhof	0	21017			1
621:	573989	Q1538724	Gotha (Jesewitz)	Gotha	11	None	30067	Gotha	1
622:	577737	Q881221	Krzewina (Bogatynia)	Grunau_(3)	16	None	29018	Grunau (3)	1
623:	578629	Q301249	Nischwitz (Thallwitz)	Nischwitz	12	None	3170	Nischwitz	1
624:	581943	Q1117567	Volkmarsdorf	Volkmarsdorf	0	4203			1
625:	587406	Q1546480	Griesbach (Schneeberg)	Griesbach	13	None	21030	Griesbach	1
626:	588083	Q1261720	Dröschkau	Dröschkau	0	30045			1
627:	592250	Q1892391	Marbach (Striegistal)	Marbach_(2)	12	None	2136	Marbach (2)	1
628:	597439	Q1016556	Burkhardtsgrün (Zschorlau)	Burkhardtsgrün_(1)	10	None	21019	Burkhardtsgrün (1)	1
629:	597771	Q2592349	Wolfsgrün	Wolfsgrün_(1)	4	None	21090	Wolfsgrün (1)	1
630:	599046	Q2360795	Stötteritz	Stötteritz	0	4194			1
631:	602598	Q1665368	Wernesgrün	Wernesgrün	0	13114			1
632:	607828	Q1775093	Kloster Buch	Buch,_Kloster-	11	None	2024	Buch, Kloster-	0
633:	612893	Q1631961	Obergruna	Obergruna	0	10097			1
634:	612902	Q2563198	Wernitzgrün	Wernitzgrün	0	19136			1
635:	621844	Q159867	Wehrsdorf	Wehrsdorf	0	23314			1
636:	624813	Q1530646	Laubusch	Laubusch	0	25049			1
637:	625137	Q160230	Schwarzkollm	Schwarzkollm	0	25042			4
638:	627121	Q8933	Laubegast	Laubegast	0	8106			1
639:	630612	Q2340849	Steinheidel	Steinheidel	0	21080			1
640:	647366	Q502488	Obercunnersdorf	Obercunnersdorf_(2)	4	None	27018	Cunnersdorf, Ober- (2)	4
641:	651570	Q1069495	Chemnitz-Ebersdorf	Ebersdorf_(1)	13	None	14021	Ebersdorf (1)	1
642:	654523	Q1760578	Sohl (Bad Elster)	Sohl_(Ober-,_Unter-)	11	None	19119	Sohl (Ober-, Unter-)	4
643:	657085	Q923608	Brockau	Brockau	0	20004			1
644:	660426	Q442359	Altleisnig	Altleisnig	0	2124			1
645:	667838	Q1128144	Constappel	Constappel	0	10044			1
646:	667931	Q177052	Hohenbocka	Hohenbocka	0	25009			1
647:	680485	Q1827495	Lippersdorf	Lippersdorf	0	18048			1
